table_order,model_id,variant,model_label,evidence_class,panel_order,panel,evaluation,n,available,absolute_rmse,delta_rmse_dlg_minus_comparator,delta_rmse_ci95_low,delta_rmse_ci95_high,paired_inference_vs_dlg,is_lowest_point_estimate
1,dlg_sol,none,DLG-Sol,this work,1,R01,AqSolDBc OOF,8047.0,True,0.8070198189303897,,,,reference,True
1,dlg_sol,none,DLG-Sol,this work,2,R02,ComPlat OOF,17937.0,True,0.8792137384771159,,,,reference,True
1,dlg_sol,none,DLG-Sol,this work,3,R03,TDC OOF,7985.0,True,0.986333653510055,,,,reference,False
1,dlg_sol,none,DLG-Sol,this work,4,R04,TDC supplied test,1997.0,True,1.0015496104499495,,,,reference,True
1,dlg_sol,none,DLG-Sol,this work,5,R05,JCheM supplied test,980.0,True,0.6143625076600107,,,,reference,True
1,dlg_sol,none,DLG-Sol,this work,6,R09,ComPlat supplied test,1282.0,True,0.5599356767828995,,,,reference,False
2,pnnl_gnn,none,PNNL GNN,independently retrained adaptation,1,R01,AqSolDBc OOF,8047.0,True,0.9077123385917928,-0.1006925196614032,-0.115029497323384,-0.0863535008172559,resolved,False
2,pnnl_gnn,none,PNNL GNN,independently retrained adaptation,2,R02,ComPlat OOF,17937.0,True,1.0318957227849117,-0.1526819843077957,-0.1667660162346814,-0.1385614513316495,resolved,False
2,pnnl_gnn,none,PNNL GNN,independently retrained adaptation,3,R03,TDC OOF,7985.0,True,1.141101551475595,-0.1547678979655403,-0.1797590371291485,-0.1305328367769914,resolved,False
2,pnnl_gnn,none,PNNL GNN,independently retrained adaptation,4,R04,TDC supplied test,1997.0,True,1.1046931119038972,-0.1031435014539476,-0.1312509069283495,-0.0751182602029428,resolved,False
2,pnnl_gnn,none,PNNL GNN,independently retrained adaptation,5,R05,JCheM supplied test,980.0,True,0.6995483543277871,-0.0851858466677764,-0.115541025164185,-0.0565693913151285,resolved,False
2,pnnl_gnn,none,PNNL GNN,independently retrained adaptation,6,R09,ComPlat supplied test,1282.0,True,0.6156812231514455,-0.055745546368546,-0.0796297876842073,-0.0315347798705297,resolved,False
